,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
90,Lebu,44.0,ET,1545602536.0,89.0,8.96,38.73,41.91,2.98
91,Kjollefjord,75.0,NO,1545600000.0,99.0,70.95,27.35,32.0,16.11
92,Khartoum,0.0,SD,1545600600.0,35.0,15.59,32.54,73.4,11.41
93,Barrow,0.0,AR,1545602619.0,24.0,-38.31,-60.23,95.01,14.56
94,Luderitz,0.0,NA,1545602538.0,71.0,-26.65,15.16,62.79,16.35
95,Laguna,20.0,MX,1545597660.0,17.0,27.52,-110.01,84.2,9.17
96,Burnie,0.0,AU,1545602539.0,100.0,-41.05,145.91,61.44,8.75
97,Daru,0.0,SL,1545602539.0,58.0,7.99,-10.85,76.56,4.27
98,Kedrovyy,0.0,RU,1545600600.0,73.0,56.17,91.82,-34.61,3.27
99,Jamestown,0.0,AU,1545602040.0,49.0,-33.21,138.6,60.99,5.39
100,Krasnotorka,92.0,UA,1545602541.0,97.0,48.68,37.52,33.27,11.59
101,Bam,0.0,IR,1545602541.0,69.0,29.11,58.36,28.77,5.28
102,Bilma,0.0,NE,1545602541.0,55.0,18.69,12.92,51.18,4.83
103,Carnarvon,0.0,ZA,1545602542.0,27.0,-30.97,22.13,75.7,14.56
104,Comodoro Rivadavia,64.0,AR,1545602297.0,54.0,-45.87,-67.48,74.76,23.11
105,Ikwiriri,0.0,TZ,1545602543.0,97.0,-7.96,38.99,73.18,2.3
106,Porto Murtinho,68.0,BR,1545602543.0,85.0,-21.7,-57.88,81.42,7.85
107,Henties Bay,0.0,NA,1545602543.0,92.0,-22.12,14.28,63.87,3.83
108,Praia,75.0,BR,1545598800.0,61.0,-20.25,-43.81,80.6,8.05
109,Severo-Kurilsk,68.0,RU,1545602544.0,100.0,50.68,156.12,24.58,6.85
110,Cherskiy,44.0,RU,1545602544.0,62.0,68.75,161.3,-34.1,2.82
111,Gat,8.0,SN,1545600600.0,36.0,14.69,-16.54,77.0,10.29
112,Rio Grande City,40.0,US,1545601980.0,40.0,26.38,-98.82,82.4,4.7
113,Mar del Plata,76.0,AR,1545602333.0,32.0,-46.43,-67.52,78.81,26.42
114,Vostok,44.0,RU,1545602545.0,54.0,46.45,135.83,-1.39,7.07
115,Port Hardy,90.0,CA,1545598800.0,87.0,50.7,-127.42,44.6,5.82
116,Klaksvik,80.0,FO,1545600000.0,87.0,62.23,-6.59,42.8,17.22
117,Tura,0.0,IN,1545602546.0,84.0,25.52,90.21,52.35,2.48
118,Camacha,20.0,PT,1545600600.0,72.0,33.08,-16.33,66.2,20.8
119,Spokane,90.0,US,1545602160.0,96.0,47.66,-117.42,35.96,4.7
120,Baruun-Urt,0.0,MN,1545602547.0,73.0,46.68,113.28,-5.17,13.11
121,Saskylakh,56.0,RU,1545602547.0,65.0,71.97,114.09,-14.39,10.92
122,Vestmannaeyjar,92.0,IS,1545602548.0,100.0,63.44,-20.27,42.13,19.82
123,Victoria,75.0,BN,1545600600.0,94.0,5.28,115.24,78.8,2.24
124,Butaritari,32.0,KI,1545602549.0,100.0,3.07,172.79,83.22,8.57
125,Lorengau,44.0,PG,1545602549.0,100.0,-2.02,147.27,81.51,6.06
126,Kendari,32.0,ID,1545602549.0,89.0,-3.99,122.52,75.25,5.61
127,Pangkalanbuun,44.0,ID,1545602550.0,95.0,-2.68,111.62,73.86,3.27
128,Grand Gaube,40.0,MU,1545598800.0,88.0,-20.01,57.66,77.0,4.7
129,Krasnoborsk,56.0,RU,1545602551.0,85.0,61.56,45.93,3.03,7.85
130,Bluff,0.0,AU,1545602551.0,67.0,-23.58,149.07,68.41,14.61
131,Pisco,40.0,PE,1545598800.0,30.0,-13.71,-76.2,71.6,25.28
132,Shiloh,1.0,US,1545600900.0,60.0,38.56,-89.9,46.04,6.93
133,Avarua,75.0,CK,1545598800.0,74.0,-21.21,-159.78,84.2,10.29
134,Teya,75.0,MX,1545597840.0,30.0,21.05,-89.07,86.0,6.93
135,Kokkola,90.0,FI,1545601800.0,92.0,63.84,23.13,15.8,6.93
136,Puro,68.0,PH,1545602553.0,100.0,13.13,123.76,73.86,3.49
137,Torbay,90.0,CA,1545598800.0,93.0,47.66,-52.73,37.4,13.87
138,Ilulissat,90.0,GL,1545598200.0,85.0,69.22,-51.1,17.6,21.92
139,Aracoiaba da Serra,92.0,BR,1545602555.0,100.0,-23.51,-47.61,72.42,1.97
140,Ploemeur,90.0,FR,1545600600.0,100.0,47.73,-3.43,53.6,10.29
141,Kaeo,92.0,NZ,1545602555.0,100.0,-35.1,173.78,65.58,10.42
142,Kvam,32.0,NO,1545602556.0,76.0,61.67,9.69,7.08,2.19
143,Ishigaki,75.0,JP,1545598800.0,94.0,24.34,124.16,68.0,21.92
144,Khatanga,88.0,RU,1545602557.0,69.0,71.98,102.47,-9.8,21.05
145,Esperance,20.0,TT,1545598800.0,69.0,10.24,-61.45,82.4,12.75
146,Gizo,0.0,IL,1545601800.0,87.0,31.8,34.94,59.0,3.36
147,Ponta do Sol,64.0,BR,1545602558.0,87.0,-20.63,-46.0,75.57,5.77
148,Honningsvag,75.0,NO,1545600000.0,100.0,70.98,25.97,32.0,16.11
149,Dauriya,0.0,RU,1545602559.0,57.0,49.93,116.85,-13.36,3.76
150,Marsabit,0.0,KE,1545602559.0,76.0,2.34,37.99,65.58,4.76
151,Tres Arroyos,0.0,AR,1545602560.0,24.0,-38.38,-60.28,95.01,14.56
152,Palana,0.0,RU,1545602560.0,52.0,59.08,159.95,-10.66,2.37
153,Caluquembe,64.0,AO,1545602560.0,90.0,-13.78,14.68,63.78,2.53
154,Mincivan,12.0,AZ,1545602560.0,66.0,39.03,46.72,21.57,2.37
155,Richards Bay,76.0,ZA,1545602561.0,83.0,-28.77,32.06,71.83,10.8
156,Hudson Bay,36.0,CA,1545602561.0,74.0,52.86,-102.4,13.02,3.27
157,Rawson,0.0,AR,1545602561.0,21.0,-43.3,-65.11,90.01,8.75
158,Vardo,90.0,US,1545601980.0,59.0,39.62,-77.74,46.4,3.04
159,Saint-Philippe,1.0,CA,1545600900.0,75.0,45.36,-73.48,19.4,6.73
160,Magadan,36.0,RU,1545602562.0,100.0,59.56,150.8,6.27,21.16
161,Marsa Matruh,75.0,EG,1545598800.0,82.0,31.35,27.25,59.0,8.05
162,Bredasdorp,12.0,ZA,1545598800.0,87.0,-34.53,20.04,60.8,3.36
163,Fershampenuaz,92.0,RU,1545602564.0,81.0,53.52,59.82,-2.02,6.29
164,Kardla,90.0,EE,1545601800.0,92.0,58.44,26.57,23.0,4.7
165,Constitucion,75.0,MX,1545598200.0,7.0,23.99,-104.67,69.8,4.54
166,Ubinskoye,0.0,RU,1545602564.0,67.0,55.31,79.68,-22.49,10.87
167,Boca do Acre,48.0,BR,1545602565.0,73.0,-8.76,-67.39,83.94,2.71
168,Puerto Ayacucho,20.0,CO,1545598800.0,41.0,5.66,-67.63,93.2,6.93
169,Fastovetskaya,76.0,RU,1545602569.0,97.0,45.92,40.15,39.3,13.94
170,Fortuna,0.0,ES,1545600600.0,93.0,38.18,-1.13,46.4,2.24
171,Santiago,0.0,CL,1545598800.0,25.0,-33.44,-70.65,89.6,9.17
172,Codrington,40.0,AU,1545598800.0,77.0,-28.95,153.24,69.8,5.82
173,Thinadhoo,12.0,MV,1545602571.0,100.0,0.53,72.93,81.51,6.89
174,Saint-Pierre,90.0,FR,1545600600.0,100.0,48.95,4.24,55.4,20.8
175,Xiamen,90.0,CN,1545598800.0,93.0,24.46,118.07,57.2,11.18
176,Tshane,44.0,BW,1545602573.0,16.0,-24.02,21.87,84.75,9.42
177,Kissamos,0.0,GR,1545600000.0,93.0,35.49,23.66,50.0,9.57
178,Waipawa,100.0,NZ,1545602574.0,99.0,-39.94,176.59,58.92,13.82
179,Narathiwat,75.0,TH,1545598800.0,94.0,6.43,101.8,77.0,2.24
180,Eureka,1.0,US,1545600900.0,100.0,40.8,-124.16,57.02,13.87
181,Cuamba,100.0,MZ,1545602576.0,97.0,-14.8,36.54,68.1,3.31
182,Rocha,0.0,UY,1545602576.0,45.0,-34.48,-54.34,76.15,9.08
183,Thompson,75.0,CA,1545600240.0,70.0,55.74,-97.86,-2.21,2.24
184,San Ramon de la Nueva Oran,44.0,AR,1545602659.0,62.0,-23.13,-64.33,87.63,5.21
185,Yaya,0.0,RU,1545602578.0,75.0,56.2,86.45,-24.61,8.86
186,Nepomuceno,44.0,BR,1545602578.0,97.0,-21.23,-45.23,70.75,6.33
187,Rincon,1.0,US,1545602160.0,64.0,32.3,-81.24,64.04,8.05
188,Kudahuvadhoo,88.0,MV,1545602579.0,100.0,2.67,72.89,82.05,6.55
189,Saint George,20.0,GR,1545598200.0,100.0,39.45,22.34,44.6,0.96
190,Kapit,88.0,MY,1545602580.0,98.0,2.02,112.94,72.06,2.3
191,Campiglia Marittima,20.0,IT,1545599520.0,87.0,43.06,10.62,51.8,3.36
192,San Patricio,0.0,PY,1545602581.0,67.0,-26.98,-56.83,83.26,4.99
193,Komsomolskiy,48.0,RU,1545602581.0,81.0,67.55,63.78,3.93,18.14
194,Bereda,0.0,ES,1545600600.0,87.0,43.27,-7.54,50.0,4.7
195,Buckeye,1.0,US,1545602100.0,30.0,33.37,-112.58,71.06,6.93
196,Namibe,20.0,AO,1545602582.0,100.0,-15.19,12.15,73.36,5.32
197,Manaure,0.0,CO,1545598800.0,43.0,11.78,-72.45,89.6,16.11
198,Torring,64.0,DK,1545600000.0,86.0,55.85,9.48,33.8,6.93
199,Ayan,32.0,TR,1545602583.0,97.0,40.67,33.6,30.84,4.5
200,Palu,32.0,ID,1545602583.0,89.0,-0.9,119.87,63.33,1.7
201,Airai,88.0,TL,1545602584.0,96.0,-8.93,125.41,70.75,1.59
202,Upernavik,68.0,GL,1545602585.0,100.0,72.79,-56.15,1.59,12.33
203,Cayenne,90.0,GF,1545600600.0,78.0,4.94,-52.33,78.8,5.82
204,Salalah,0.0,OM,1545598200.0,43.0,17.01,54.1,73.4,8.05
205,Arraial do Cabo,40.0,BR,1545598800.0,74.0,-22.97,-42.02,82.4,11.41
206,Shirokiy,92.0,RU,1545602586.0,92.0,53.87,39.17,21.75,9.31
207,Bonavista,92.0,CA,1545602586.0,90.0,48.65,-53.11,37.86,16.8
208,Luwuk,76.0,ID,1545602586.0,100.0,-0.95,122.79,74.08,3.04
209,Gawler,0.0,AU,1545600600.0,43.0,-34.6,138.75,71.6,11.41
210,Barra do Corda,88.0,BR,1545602419.0,71.0,-5.5,-45.25,81.87,6.78
211,Faya,56.0,SA,1545602588.0,94.0,18.39,42.45,51.72,1.7
212,Coruripe,92.0,BR,1545602588.0,98.0,-10.12,-36.18,80.11,13.6
213,Puerto Escondido,20.0,MX,1545597600.0,69.0,15.86,-97.07,82.4,10.29
214,Pevek,0.0,RU,1545602589.0,100.0,69.7,170.27,-31.4,6.33
215,Ahipara,92.0,NZ,1545602589.0,99.0,-35.17,173.16,66.3,10.92
216,Liverpool,75.0,GB,1545601800.0,93.0,53.41,-2.98,44.6,3.36
217,Castro,75.0,CL,1545598800.0,59.0,-42.48,-73.76,66.2,10.29
218,Nabire,8.0,ID,1545602590.0,92.0,-3.36,135.5,67.51,2.26
219,Levelland,75.0,US,1545598380.0,45.0,33.59,-102.38,48.92,11.41
220,Villa Maria,75.0,CO,1545598800.0,42.0,4.5,-74.09,66.2,9.17
221,Souillac,90.0,FR,1545600600.0,100.0,45.6,-0.6,53.6,6.93
222,Qaanaaq,64.0,GL,1545602592.0,91.0,77.48,-69.36,-4.9,5.28
223,Beringovskiy,24.0,RU,1545602592.0,100.0,63.05,179.32,-1.12,19.37
224,Hanna,68.0,CA,1545602594.0,66.0,51.64,-111.93,23.28,5.84
225,New Richmond,1.0,CA,1545598800.0,45.0,48.17,-65.87,23.0,11.41
226,Saint John,20.0,CA,1545598800.0,54.0,45.28,-66.06,28.4,8.05
227,El Sauzal,75.0,AR,1545598800.0,69.0,-24.3,-64.96,78.8,2.24
228,Berlevag,0.0,NO,1545598200.0,79.0,70.86,29.09,28.4,18.34
229,Pychas,80.0,RU,1545602598.0,84.0,56.5,52.44,11.04,11.54
230,Mercedes,0.0,UY,1545602599.0,52.0,-33.25,-58.03,85.33,5.28
231,Charleston,90.0,US,1545600900.0,93.0,38.35,-81.63,39.2,3.49
232,Syasstroy,92.0,RU,1545602600.0,86.0,60.14,32.56,21.61,4.72
233,Maningrida,56.0,AU,1545602600.0,86.0,-12.05,134.23,82.5,8.08
234,Muzhi,0.0,RU,1545602601.0,53.0,65.4,64.7,-17.99,15.17
235,Zhoucheng,0.0,CN,1545598800.0,93.0,31.35,119.33,35.6,2.24
236,Gushi,0.0,CN,1545602605.0,96.0,32.17,115.65,31.78,7.11
237,Tuktoyaktuk,90.0,CA,1545598800.0,76.0,69.44,-133.03,-5.81,6.93
238,Vezirkopru,75.0,TR,1545601800.0,93.0,41.14,35.45,39.2,1.12
239,Shyryayeve,8.0,UA,1545602606.0,90.0,47.38,30.2,27.24,9.01
240,Inta,0.0,RU,1545602606.0,69.0,66.04,60.13,4.92,8.41
241,Parati,75.0,BR,1545598800.0,78.0,-20.51,-54.63,75.2,8.05
242,Jiexiu,24.0,CN,1545602607.0,65.0,37.02,111.92,8.61,3.2
243,Taoudenni,0.0,ML,1545602608.0,28.0,22.68,-3.98,60.9,14.61
244,Vao,92.0,EE,1545602608.0,97.0,59.1,26.19,28.05,8.08
245,Maldonado,0.0,UY,1545598800.0,60.0,-34.91,-54.96,73.4,17.22
246,Shieli,80.0,KZ,1545602609.0,84.0,44.18,66.74,5.55,3.53
247,Kavaratti,32.0,IN,1545602609.0,100.0,10.57,72.64,83.4,11.25
248,Petnehaza,68.0,HU,1545602610.0,88.0,48.06,22.07,29.53,6.89
249,Hobyo,36.0,SO,1545602610.0,80.0,5.35,48.53,78.27,20.6
250,Charters Towers,36.0,AU,1545602610.0,85.0,-20.07,146.27,72.6,16.62
251,Iqaluit,90.0,CA,1545600540.0,75.0,63.75,-68.52,-14.81,28.86
252,Nanortalik,92.0,GL,1545602611.0,94.0,60.14,-45.24,34.26,19.86
253,Hearst,64.0,CA,1545602529.0,67.0,49.69,-83.67,5.1,2.86
254,Tabas,0.0,IR,1545598800.0,52.0,33.6,56.92,42.8,4.7
255,Roald,75.0,NO,1545600000.0,69.0,62.58,6.12,39.2,8.05
256,Wajima,36.0,JP,1545602612.0,100.0,37.4,136.9,43.44,17.4
257,Altay,48.0,CN,1545602613.0,60.0,47.83,88.13,-16.96,1.52
258,Callaway,90.0,US,1545600900.0,82.0,46.98,-95.91,19.94,9.17
259,Uray,12.0,RU,1545602613.0,68.0,60.13,64.8,-22.49,4.72
260,Vakhrushev,12.0,RU,1545602613.0,88.0,48.99,142.86,3.43,7.34
261,Sinnamary,44.0,GF,1545602327.0,100.0,5.38,-52.96,76.92,4.32
262,Kieta,92.0,PG,1545602614.0,100.0,-6.22,155.63,78.31,1.59
263,Deputatskiy,24.0,RU,1545602614.0,0.0,69.3,139.9,-43.6,3.71
264,Sitka,8.0,US,1545602615.0,41.0,37.17,-99.65,49.29,9.35
265,Aswan,0.0,EG,1545602615.0,77.0,24.09,32.9,56.85,9.64
266,Avigliano,40.0,IT,1545598500.0,93.0,40.73,15.72,42.8,26.4
267,Geraldton,75.0,CA,1545598800.0,77.0,49.72,-86.95,5.0,5.82
268,Katsuura,75.0,JP,1545600000.0,87.0,33.93,134.5,48.2,3.36
269,Wamba,20.0,CD,1545602619.0,83.0,2.14,27.99,67.78,2.19
270,Ribeira Grande,75.0,PT,1545598800.0,76.0,38.52,-28.7,57.2,13.87
271,Mount Gambier,0.0,AU,1545598800.0,77.0,-37.83,140.78,62.6,11.41
272,Sungairaya,92.0,ID,1545602621.0,87.0,0.7,108.9,77.86,3.76
273,Saint-Augustin,90.0,FR,1545600600.0,93.0,44.83,-0.61,55.4,2.24
274,Biak,76.0,ID,1545602622.0,100.0,-0.91,122.88,74.08,3.04
275,Gold Coast,75.0,AU,1545600600.0,68.0,-28.0,153.41,71.6,8.05
276,Chamonix-Mont-Blanc,75.0,IT,1545601800.0,93.0,45.92,6.87,48.2,3.36
277,Longyearbyen,75.0,NO,1545598200.0,65.0,78.22,15.63,6.8,4.7
278,Guerrero Negro,0.0,MX,1545602624.0,46.0,27.97,-114.04,73.63,7.07
279,Ngunguru,92.0,NZ,1545602624.0,100.0,-35.62,174.5,66.57,12.26
280,Galveston,90.0,US,1545603300.0,78.0,40.58,-86.19,37.76,14.99
281,Libreville,20.0,GA,1545600600.0,94.0,0.39,9.45,77.0,4.72
282,Aklavik,75.0,CA,1545598800.0,75.0,68.22,-135.01,-20.21,7.63
283,La Ronge,90.0,CA,1545598800.0,84.0,55.1,-105.3,5.0,5.82
284,Qaqortoq,92.0,GL,1545602626.0,95.0,60.72,-46.03,33.4,27.09
285,Matara,24.0,PE,1545602626.0,60.0,-13.74,-72.9,59.55,2.71
286,Kirakira,32.0,SB,1545602626.0,100.0,-10.46,161.92,82.41,7.63
287,Sillanwali,0.0,PK,1545602627.0,86.0,31.83,72.54,44.52,6.78
288,Padang,40.0,ID,1545600600.0,88.0,-0.92,100.36,75.2,2.24
289,Avera,1.0,US,1545602100.0,56.0,33.19,-82.53,64.4,10.29
290,Rosetown,36.0,CA,1545602628.0,85.0,51.55,-107.99,14.1,8.75
291,Ostersund,8.0,SE,1545600000.0,85.0,63.18,14.64,14.0,6.93
292,Mayor Pablo Lagerenza,56.0,PY,1545602629.0,87.0,-19.93,-60.77,80.97,2.82
293,Key West,90.0,US,1545602100.0,78.0,47.93,-96.78,19.4,6.93
294,Hasaki,40.0,JP,1545600600.0,100.0,35.73,140.83,35.6,1.12
295,Qostanay,90.0,KZ,1545600600.0,83.0,53.17,63.58,-4.01,4.47
296,Tautira,75.0,PF,1545600600.0,66.0,-17.73,-149.15,86.0,4.7
297,Kondopoga,92.0,RU,1545598800.0,85.0,62.21,34.27,17.6,4.47
298,Oktyabrskiy,90.0,RU,1545600600.0,85.0,55.61,37.97,17.6,8.95
299,Ahuimanu,20.0,US,1545598620.0,66.0,21.44,-157.84,82.04,11.41
300,Mizan Teferi,0.0,ET,1545602632.0,78.0,6.99,35.58,60.0,2.3
301,Hegra,75.0,NO,1545600000.0,79.0,63.46,11.11,24.8,5.82
302,Ponta Delgada,75.0,PT,1545600600.0,93.0,37.73,-25.67,59.0,5.82
303,Sri Aman,80.0,MY,1545598800.0,100.0,1.24,111.46,71.6,2.08
304,Vanimo,92.0,PG,1545602633.0,100.0,-2.67,141.3,76.65,6.85
305,Nicoya,0.0,CR,1545598800.0,43.0,10.15,-85.45,89.6,25.28
306,Guantanamo,90.0,BO,1545598800.0,83.0,-16.14,-62.05,77.0,5.82
307,Aripuana,56.0,BR,1545602634.0,75.0,-9.17,-60.63,83.8,2.3
308,Murliganj,0.0,IN,1545602635.0,88.0,25.9,86.99,52.62,7.23
309,Solnechnyy,36.0,RU,1545602635.0,67.0,50.72,136.64,-1.07,5.5
310,Nizwa,32.0,OM,1545602599.0,85.0,22.93,57.53,53.97,4.27
311,Biltine,8.0,TD,1545602637.0,25.0,14.53,20.93,62.83,14.05
312,Chabahar,0.0,IR,1545602637.0,100.0,25.29,60.65,69.4,3.76
313,Kailua,20.0,US,1545598620.0,66.0,21.39,-157.74,82.04,11.41
314,Karpogory,68.0,RU,1545602638.0,71.0,64.0,44.44,-1.93,6.4
315,Saint Anthony,90.0,US,1545599400.0,56.0,43.97,-111.68,28.04,5.82
316,North Bend,90.0,US,1545598560.0,74.0,43.41,-124.22,55.04,10.29
317,Iquitos,40.0,PE,1545598800.0,319.0,-3.75,-73.25,42.8,3.36
318,Santa Fe,0.0,AR,1545602640.0,54.0,-31.62,-60.7,86.01,7.78
319,Bayshore Gardens,1.0,US,1545600900.0,59.0,27.43,-82.59,65.12,5.82
